Q_LEARN,Q_EVICT,Q_FLOOD,Q_BLOCK,Q_UNBLOCK,Q_INC_AGE,Q_DEC_AGE
-0.0013,0.0,-0.0152,0.0,0.0,0.0,0.0
-0.0013,-0.0088,-0.0152,0.0,0.0,0.0,0.0
-0.0023,-0.0088,-0.0152,0.0,0.0,0.0,0.0
-0.0036,-0.0088,-0.0152,0.0,0.0,0.0,0.0
-0.007,-0.0088,-0.0152,0.0,0.0,0.0,0.0
-0.0076,-0.0088,-0.0152,0.0,0.0,0.0,0.0
-0.008,-0.0088,-0.0152,0.0,0.0,0.0,0.0
-0.0084,-0.0088,-0.0152,0.0,0.0,0.0,0.0
-0.0115,-0.0088,-0.0152,0.0,0.0,0.0,0.0
-0.0115,-0.0088,-0.0152,0.0,0.0,0.0,-0.0022
-0.014,-0.0033,-0.0292,0.0,0.0,-0.0054,0.0
-0.0166,-0.0033,-0.0292,0.0,0.0,-0.0054,0.0
-0.0163,-0.0033,-0.0292,0.0,0.0,-0.0054,0.0
-0.0163,-0.0033,-0.0292,0.0,0.0,-0.0054,-0.0053
-0.0184,-0.0033,-0.0292,0.0,0.0,-0.0054,-0.0053
-0.0177,-0.0033,-0.0292,0.0,0.0,-0.0054,-0.0053
-0.0171,-0.0033,-0.0292,0.0,0.0,-0.0054,-0.0053
-0.0137,-0.0033,-0.0292,0.0,0.0,-0.0054,-0.0053
-0.0161,-0.0033,-0.0292,0.0,0.0,-0.0054,-0.0053
-0.0161,-0.0033,-0.0292,0.0,0.0,-0.01,-0.0053
-0.0161,-0.0033,-0.0441,0.0,0.0,-0.01,-0.0053
-0.0155,-0.0033,-0.0441,0.0,0.0,-0.01,-0.0053
-0.0155,-0.0033,-0.0441,0.0,0.0,-0.01,-0.0085
-0.0225,-0.0487,-0.1181,0.0,0.0,-0.0261,-0.0394
-0.0225,-0.0497,-0.1181,0.0,0.0,-0.0261,-0.0394
-0.0079,-0.0198,-0.0755,0.0,0.0,-0.0164,-0.0086
-0.0079,-0.0198,-0.0755,0.0,0.0,-0.02,-0.0086
-0.0086,-0.0198,-0.0755,0.0,0.0,-0.02,-0.0086
-0.0086,-0.0198,-0.0755,0.0,0.0,-0.02,-0.0155
-0.009,-0.0198,-0.0755,0.0,0.0,-0.02,-0.0155
-0.009,-0.0198,-0.0755,0.0,0.0,-0.02,-0.0193
-0.0093,-0.0198,-0.0755,0.0,0.0,-0.02,-0.0193
-0.0093,-0.0198,-0.0755,0.0,0.0,-0.026,-0.0193
-0.0097,-0.0198,-0.0755,0.0,0.0,-0.026,-0.0193
-0.0097,-0.0198,-0.0755,0.0,0.0,-0.026,-0.0227
-0.0097,-0.0198,-0.083,0.0,0.0,-0.026,-0.0227
-0.0099,-0.0198,-0.083,0.0,0.0,-0.026,-0.0227
-0.0099,-0.0149,-0.083,0.0,0.0,-0.026,-0.0227
-0.0212,-0.0497,-0.1181,0.0,0.0,-0.0261,-0.0394
-0.0206,-0.0497,-0.1181,0.0,0.0,-0.0261,-0.0394
-0.0199,-0.0497,-0.1181,0.0,0.0,-0.0261,-0.0394
-0.0199,-0.0497,-0.1181,0.0,0.0,-0.0261,-0.0407
-0.0216,-0.0497,-0.1181,0.0,0.0,-0.0261,-0.0407
-0.0205,-0.0497,-0.1181,0.0,0.0,-0.0261,-0.0407
-0.0196,-0.0497,-0.1181,0.0,0.0,-0.0261,-0.0407
-0.0188,-0.0497,-0.1181,0.0,0.0,-0.0261,-0.0407
-0.0188,-0.0497,-0.1241,0.0,0.0,-0.0261,-0.0407
-0.0188,-0.0497,-0.1241,0.0,0.0,-0.0261,-0.0419
-0.0188,-0.0497,-0.1241,0.0,0.0,-0.0261,-0.043
-0.0188,-0.0497,-0.1241,0.0,0.0,-0.0261,-0.0438
-0.0188,-0.0497,-0.1241,0.0,0.0,-0.0261,-0.0472
-0.0176,-0.0497,-0.1241,0.0,0.0,-0.0261,-0.0472
-0.0169,-0.0497,-0.1241,0.0,0.0,-0.0261,-0.0472
-0.0169,-0.0497,-0.1291,0.0,0.0,-0.0261,-0.0472
-0.0163,-0.0497,-0.1291,0.0,0.0,-0.0261,-0.0472
-0.0158,-0.0497,-0.1291,0.0,0.0,-0.0261,-0.0472
-0.0158,-0.0497,-0.1314,0.0,0.0,-0.0261,-0.0472
-0.0158,-0.0497,-0.1314,0.0,0.0,-0.0261,-0.0503
-0.0155,-0.0497,-0.1314,0.0,0.0,-0.0261,-0.0503
-0.015,-0.0497,-0.1314,0.0,0.0,-0.0261,-0.0503
-0.0146,-0.0497,-0.1314,0.0,0.0,-0.0261,-0.0503
-0.0146,-0.0497,-0.1314,0.0,0.0,-0.0314,-0.0503
-0.0143,-0.0497,-0.1314,0.0,0.0,-0.0314,-0.0503
-0.014,-0.0497,-0.1314,0.0,0.0,-0.0314,-0.0503
-0.014,-0.0497,-0.1314,0.0,0.0,-0.033,-0.0503
-0.014,-0.0497,-0.1314,0.0,0.0,-0.033,-0.0504
-0.014,-0.0497,-0.1335,0.0,0.0,-0.033,-0.0504
-0.0138,-0.0497,-0.1335,0.0,0.0,-0.033,-0.0504
-0.0159,-0.0497,-0.1335,0.0,0.0,-0.033,-0.0504
-0.0154,-0.0497,-0.1335,0.0,0.0,-0.033,-0.0504
